,title,url,date,query,keyword,summary
0,Brand New Mahindra Ambulances Pressed In Corona Service In Mumbai - carandbike,https://www.carandbike.com/news/brand-new-mahindra-ambulances-pressed-in-corona-service-in-mumbai-2246661,2020-06-15,corona,"['vehicle', 'mumbai', 'buy', 'brand', 'planning', 'ends', 'online', 'service', 'corona', 'pressed', 'mahindra', 'lockdown', 'ambulances', 'purchase', 'car', 'months', 'budget']","In the present Covid-19 situation, are you planning to buy a personal vehicle, considering the need for a private vehicle?
Within 1 month after the lockdown ends Within 3 months after the lockdown ends Within 6 months after the lockdown ends After 6 months of the lockdown endsWhich of the following best describes the new vehicle you plan to purchase?
My budget has reduced My budget remains same My budget has increasedWith many car brands offering option to purchase online, are you willing to avail the option?
My budget has reduced My budget remains same My budget has increasedWith many car brands offering option to purchase online, are you willing to avail the option?
Within 1 month after the lockdown ends Within 3 months after the lockdown ends Within 6 months after the lockdown ends After 6 months of the lockdown ends"
1,Coronavirus: Amit Shah's Surprise Delhi LNJP Hospital Visit After All-Party Meet On COVID-19,https://www.ndtv.com/india-news/coronavirus-amit-shahs-all-party-meet-day-after-announcing-delhi-virus-crisis-plan-2246435,2020-06-15,corona,"['shahs', 'allparty', 'covid', 'amit', 'delhi', 'surprise', 'shah', 'parties', 'hospital', 'visit', 'covid19', 'political', 'meeting', 'party', 'coronavirus', 'minister', 'testing', 'meet']","Delhi Coronavirus Cases: Amit Shah held an all-party meet to dicusss the situation.
Mr Shah said political parties should forget their differences and join hands in the COVID-19 battle of the national capital.
""A united face of all political parties will enhance people's trust and the situation in Delhi will be soon normal.
""We will have to increase COVID-19 testing in Delhi by adopting new solutions,"" he added.
Amit Shah later made a surprise visit to Delhi's Lok Nayak Jai Prakash (LNJP) Hospital to review COVID-19 preparedness."
2,"
	NDTV: Latest News, India News, Breaking News, Business, Bollywood, Cricket, Videos
        & Photos
",https://www.ndtv.com/india-news,2020-06-15,corona,"['business', 'songs', 'india', 'photos', 'breaking', 'bollywood', 'jiosaavncom', 'ndtv', 'videos', 'listen', 'latest', 'cricket']","Listen to the latest songs , only on JioSaavn.com"
3,Amit Shah Calls All-Party Meeting On Coronavirus Crisis In Delhi Today,https://www.ndtv.com/india-news/home-minister-amit-shah-calls-all-party-meeting-on-coronavirus-crisis-in-delhi-tomorrow-2246168,2020-06-14,corona,"['crisis', 'national', 'allparty', 'pradesh', 'shah', 'today', 'delhi', 'amit', 'calls', 'capital', 'haryana', 'meeting', 'coronavirus', 'minister', 'testing']","Delhi Corona Cases: Amit Shah and Arvind Kejriwal held a meeting on Sunday.
Union Home Minister Amit Shah will hold all all-party meeting today to review the management for coronavirus in the National Capital Region, which includes Delhi and parts of Uttar Pradesh and parts of Haryana.
The meeting follows the strictures of the Supreme Court on Maharashtra, Delhi and Tamil Nadu -- states with the highest incidence of coronavirus.
This morning, Mr Shah announced a series of measures for Delhi after a meeting with Chief Minister Arvind Kejriwal.
The national capital, the ministers decided, will soon receive random testing kits to push up the numbers of coronavirus testing."
4,"COVID-19 India Highlights: India Logs Over 11,000 Coronavirus Cases In 24 Hours, Biggest Single-Day Spike",https://www.ndtv.com/india-news/coronavirus-india-live-updates-indias-covid-19-cases-cross-3-lakh-mark-2245525,2020-06-12,corona,"['24', 'state', 'health', 'spike', 'biggest', 'highlights', 'india', 'ist', 'reported', 'hours', 'covid19', '13', 'total', 'cases', '2020', 'coronavirus', 'singleday', 'logs']","India Coronavirus Cases: The number of COVID-19 cases in India has been rising.
India now is ranked fourth in the world in terms of coronavirus cases, after the US, Brazil and Russia.
According to the data, the total COVID-19 cases include 1,584 recoveries, eight deaths and 2,123 active cases, reported news agency ANI.
Among the new cases reported, Cuttack has reported the maximum number of positive cases at 92, followed by Ganjam (20), reports ANI.
Among the new cases reported, Cuttack has reported the maximum number of positive cases at 92, followed by Ganjam (20), reports ANI."
5,"Coronavirus: Watch ITBP Constable's Song For Corona Warriors, Says Salute Your Courage",https://www.ndtv.com/india-news/coronavirus-itbp-constables-song-for-corona-warriors-says-salute-your-courage-2245350,2020-06-12,corona,"['tested', 'warriors', 'coronavirus', 'constable', 'salute', 'watch', 'constables', 'song', 'courage', 'corona', 'singh', 'india', 'workers', 'personnel', 'itbp', 'vikramjeet']","COVID-19: Constable Vikramjeet Singh of the ITBP sings for""corona warriors"".
A constable of the Indo-Tibetan Border Police (ITBP) has dedicated a song to doctors and healthcare workers who are fighting the coronavirus pandemic.
""Salute your courage and determination..."" constable Vikramjeet Singh says in his song for ""corona warriors"".
#WATCH Indo-Tibetan Border Police (ITBP) Constable Vikramjeet Singh dedicates a song to 'corona warriors'.
So far in India over 150 ITBP personnel have caught the infection."
6,Coronavirus Drug News: Maharashtra To Get Anti-COVID-19 Drug Remdesivir From Bangladesh For Trials,https://www.ndtv.com/india-news/coronavirus-maharashtra-to-get-anti-covid-19-drug-remdesivir-from-bangladesh-for-trials-2245211,2020-06-11,corona,"['drug', 'vials', 'mumbai', 'bangladesh', 'anticovid', 'state', 'save', 'patients', 'trials', 'covid19', 'remdesivir', 'maharashtra', 'health', 'minister']","COVID-19 Drug: Remdesivir was already being administered in Mumbai on emergency groundsMaharashtra will begin trials for remdesivir, a drug that has been touted as a success in the battle against COVID-19.
They have asked the Chief Minister to find a way out of the bureaucratic hurdles to make the drug more accessible, sources said.
Maharashtra Minister Jitendra Ahwad has asked the centre for clearances for the drug.
Maharashtra Health Minister Rajesh Tope had said last week the state will procure 10,000 vials of remdesivir.
The state government's decision comes after a revision in the treatment protocol of COVID-19 patients by the Indian Council of Medical Research or ICMR."
7,Coronavirus Highlights: India's COVID Cases Cross 3 lakh; PM-Chief Ministers Interaction Next Week,https://www.ndtv.com/india-news/coronavirus-live-updates-over-2-8-lakh-covid-19-cases-in-india-2244892,2020-06-11,corona,"['covid', 'interaction', 'pmchief', 'delhi', 'indias', 'reported', '12', 'cases', '2020', 'coronavirus', 'week', 'highlights', 'ist', 'total', 'cross', 'state', 'lakh', 'covid19', 'ministers']","It was noted in the meeting that most of the new coronavirus cases are those who have come from outside Chandigarh or their immediate contacts, the release said.
""It is the highest single-day spike in COVID-19 tally with 1,982, (including 1933 indigenous cases and 49 imported cases) cases.
Jun 12, 2020 19:45 (IST) India's Coronavirus Cases Cross 3 Lakh-MarkIndia's Coronavirus CIndia has reported over three lakh cases of the highly infectious COVID-19 disease, caused by the coronavirus.
pic.twitter.com/mfXtbgvRej - ANI (@ANI) June 12, 2020Jun 12, 2020 08:15 (IST) Coronavirus: I Was Covid ""Positive"".
Maharashtra has recorded the highest single-day jump in the number of coronavirus cases and fatalities with 3,607 fresh infections and over 150 deaths today."
8,70% Beds Vacant In COVID-19 Hospitals Run By Delhi Government; Private Hospitals Packed: Report,https://www.ndtv.com/delhi-news/70-beds-vacant-in-covid-19-hospitals-run-by-delhi-government-private-hospitals-packed-report-2244850,2020-06-10,corona,"['facilities', 'packed', 'beds', 'delhi', 'report', '70', 'available', 'hospital', 'covid19', 'total', 'run', 'vacant', 'private', 'patients', 'hospitals']","However, almost all beds at several big private hospitals are shown to be occupied, reported news agency PTI.
According to the latest data available on 'Delhi Corona' app on Thursday afternoon, a total of 9,444 beds are available in private facilities and hospitals run by the central and Delhi governments.
But, nearly all beds at big private hospitals are shown to be occupied.
This makes a total of 4,344 COVID-19 beds at these five dedicated Delhi government hospitals, out of which 3,014 or 69.38 per cent are vacant.
He had also said that main private hospitals are almost full to their capacity in terms of number of COVID-19 beds."
9,"Delhi News, Headlines, Updates, Live Coverage - NDTV",https://www.ndtv.com/delhi-news,2020-06-10,corona,"['coverage', 'rooms', 'taj', 'today', 'delhi', 'surging', 'providing', 'sir', 'responsibility', 'hotel', 'ram', 'updates', 'headlines', 'live']","The 5-Star Taj Mansingh Hotel in Delhi will now be attached with Sir Ganga Ram Hospital to help the city deal with the surging coronavirus cases.
The Delhi government issued orders today under which the hotel will have the responsibility of providing rooms and food to the patients.
It will also be in charge of the housekeeping duties."
